CN,NN,Rate Constants
Cc3ccc(c2ccc1ccccc1c2)nc3,c1cnc3c(c1)ccc2cccnc23,0.59445824
Cc2ccc(c1ccc(C)cn1)cc2,c1cnc3c(c1)ccc2cccnc23,0.66876552
Cc4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)nc4,c1cnc3c(c1)ccc2cccnc23,0.079852599
c4ccc(c3ccc(c2cc(c1ccccc1)ccn2)cc3)cc4,c1cnc3c(c1)ccc2cccnc23,0.66876552
Fc2ccc(c1ccccn1)cc2,c1cnc3c(c1)ccc2cccnc23,0.89168736
Cc2ccc(c1cccc(F)c1)nc2,c1cnc3c(c1)ccc2cccnc23,0.713349888
Cc2ccc(c1ccccc1F)nc2,c1cnc3c(c1)ccc2cccnc23,0.823096024
Cc2ccc(c1ccc(F)c(C(F)(F)F)c1)nc2,c1cnc3c(c1)ccc2cccnc23,0.087706953
Cc2ccc(c1cccc(Cl)c1)nc2,c1cnc3c(c1)ccc2cccnc23,1.18891648
c2ccc(Cc1ccccn1)cc2,c1cnc3c(c1)ccc2cccnc23,0.972749847
Cc2ccc(c1ccc(C#N)cc1)nc2,c1cnc3c(c1)ccc2cccnc23,0.563170964
CCc2ccc(c1ccccc1)nc2,c1cnc3c(c1)ccc2cccnc23,0.89168736
Cc2cnc(c1ccccc1)cc2c3ccccc3,c1cnc3c(c1)ccc2cccnc23,0.66876552
Fc3ccc(c2cc(c1ccccc1)ccn2)cc3,c1cnc3c(c1)ccc2cccnc23,0.713349888
CCc2ccc(c1ccc(Cl)cc1)nc2,c1cnc3c(c1)ccc2cccnc23,0.972749847
Clc3ccc(c2cc(c1ccccc1)ccn2)cc3,c1cnc3c(c1)ccc2cccnc23,1.18891648
c4ccc(c3ccnc(c2ccc(N1CCCC1)cc2)c3)cc4,c1cnc3c(c1)ccc2cccnc23,0.428009933
COc3ccc(c2cc(c1ccccc1)ccn2)cc3,c1cnc3c(c1)ccc2cccnc23,0.823096024
COc3ccc(c2cc(c1ccccc1)c(C)cn2)cc3,c1cnc3c(c1)ccc2cccnc23,0.411548012
CCc2ccc(c1cccc(OC)c1)nc2,c1cnc3c(c1)ccc2cccnc23,1.07E-05
COc3cccc(c2cc(c1ccccc1)ccn2)c3,c1cnc3c(c1)ccc2cccnc23,1.07E-05
COc2ccc(c1ccc(C)cn1)cc2,c1cnc3c(c1)ccc2cccnc23,0.89168736
COc3cccc(c2cc(c1ccccc1)c(C)cn2)c3,c1cnc3c(c1)ccc2cccnc23,1.07E-05
c4ccc(c3ccnc(c2ccc1ccccc1c2)c3)cc4,c1cnc3c(c1)ccc2cccnc23,0.16719138
FC(F)(F)Oc3ccc(c2nc1ccccc1s2)cc3,c1cnc3c(c1)ccc2cccnc23,0.823096024
c4ccc3cc(c2nc1ccccc1o2)ccc3c4,c1cnc3c(c1)ccc2cccnc23,0.535012416
c2ccc(c1ccccn1)cc2,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc2ccc(c1ccc(F)cc1F)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc2ccc(c1ccccc1)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
c2ccc(n1cccn1)cc2,O=c2c1cccnc1c3ncccc23,0.164619205
c1ccc3c(c1)ccc2cccnc23,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc3ccc(c2ccc(c1ccccc1)cc2)nc3,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc2ccc(c1ccc(F)cc1)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
c3ccc(c2nc1ccccc1s2)cc3,O=c2c1cccnc1c3ncccc23,0.104904395
c3ccc(c2nc1ccccc1o2)cc3,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc3ccc(c2nc1ccccc1o2)cc3,O=c2c1cccnc1c3ncccc23,0.085601987
COc3ccc(c2nc1ccccc1s2)cc3,O=c2c1cccnc1c3ncccc23,0.104904395
COc3ccc(c2nc1ccccc1o2)cc3,O=c2c1cccnc1c3ncccc23,1.07E-05
Fc3ccc(c2nc1ccccc1o2)cc3,O=c2c1cccnc1c3ncccc23,1.07E-05
Clc3ccc(c2nc1ccccc1s2)cc3,O=c2c1cccnc1c3ncccc23,0.069482132
Clc3ccc(c2nc1ccccc1o2)cc3,O=c2c1cccnc1c3ncccc23,0.066050916
Cc2ccc(c1ccc(Cl)cc1)nc2,O=c2c1cccnc1c3ncccc23,0.076980204
FC(F)(F)c3ccc(c2nc1ccccc1s2)cc3,O=c2c1cccnc1c3ncccc23,0.411548012
FC(F)(F)c3ccc(c2nc1ccccc1o2)cc3,O=c2c1cccnc1c3ncccc23,0.243187462
Cc2ccc(c1cccc(C#N)c1)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
COc2cccc(c1ccc(C)cn1)c2,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc2ccc(c1ccc(S(C)(=O)=O)cc1)nc2,O=c2c1cccnc1c3ncccc23,0.267506208
Cc2ccc(c1ccc(OC(F)(F)F)cc1)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc3ccc(c2ccc1ccccc1c2)nc3,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc2ccc(c1ccc(C)cn1)cc2,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)nc4,O=c2c1cccnc1c3ncccc23,0.110311838
c4ccc(c3ccc(c2cc(c1ccccc1)ccn2)cc3)cc4,O=c2c1cccnc1c3ncccc23,0.142669978
Fc2ccc(c1ccccn1)cc2,O=c2c1cccnc1c3ncccc23,0.181360141
Cc2ccc(c1cccc(F)c1)nc2,O=c2c1cccnc1c3ncccc23,0.181360141
Cc2ccc(c1ccccc1F)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc2ccc(c1ccc(F)c(C(F)(F)F)c1)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc2ccc(c1cccc(Cl)c1)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
c2ccc(Cc1ccccn1)cc2,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc2ccc(c1ccc(C#N)cc1)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
CCc2ccc(c1ccccc1)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
Cc2cnc(c1ccccc1)cc2c3ccccc3,O=c2c1cccnc1c3ncccc23,0.110311838
Fc3ccc(c2cc(c1ccccc1)ccn2)cc3,O=c2c1cccnc1c3ncccc23,0.073794816
CCc2ccc(c1ccc(Cl)cc1)nc2,O=c2c1cccnc1c3ncccc23,0.071813747
Clc3ccc(c2cc(c1ccccc1)ccn2)cc3,O=c2c1cccnc1c3ncccc23,0.181360141
c4ccc(c3ccnc(c2ccc(N1CCCC1)cc2)c3)cc4,O=c2c1cccnc1c3ncccc23,0.090680071
COc3ccc(c2cc(c1ccccc1)ccn2)cc3,O=c2c1cccnc1c3ncccc23,1.07E-05
COc3ccc(c2cc(c1ccccc1)c(C)cn2)cc3,O=c2c1cccnc1c3ncccc23,1.07E-05
CCc2ccc(c1cccc(OC)c1)nc2,O=c2c1cccnc1c3ncccc23,1.07E-05
COc3cccc(c2cc(c1ccccc1)ccn2)c3,O=c2c1cccnc1c3ncccc23,1.07E-05
COc2ccc(c1ccc(C)cn1)cc2,O=c2c1cccnc1c3ncccc23,0.070862572
