,method,0,1,2,3,4,5,6,7,8,9,10
27,VarMax,90.92,90.92,90.92,90.92,90.92,90.92,94.67,94.67,94.67,94.67,96.02
28,VarMax,82.98,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86
29,VarMax,93.28,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6
30,VarMax,44.69,89.15,89.15,89.15,91.88,91.88,91.88,91.88,92.89,92.89,92.89
31,VarMax,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53
32,VarMax,93.62,93.62,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74
33,VarMax,94.71,94.71,94.71,94.71,94.71,94.71,97.32,97.32,97.32,97.32,97.32
34,VarMax,86.11,87.91,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67
35,VarMax,93.94,93.94,93.94,93.94,93.94,93.94,93.94,93.94,93.94,93.94,93.94
36,VarMax,90.92,94.15,94.15,94.15,94.15,94.15,94.15,94.15,94.15,94.15,94.15
37,VarMax,70.14,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74
38,VarMax,71.16,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74
39,VarMax,68.62,76.44,93.79,93.79,93.79,93.79,96.49,96.49,96.49,96.49,96.49
40,VarMax,79.94,89.45,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
41,VarMax,91.47,91.47,91.47,91.47,91.47,91.47,91.47,91.47,91.47,91.47,91.47
42,VarMax,86.97,86.97,86.97,86.97,86.97,96.38,96.38,96.38,96.38,96.38,96.38
43,VarMax,71.22,92.07,92.07,92.07,92.07,92.07,94.67,94.67,94.67,94.67,95.34
44,VarMax,72.82,89.15,89.15,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8
45,VarMax,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65
46,VarMax,22.51,91.0,94.08,94.08,98.53,98.53,98.53,98.53,98.53,98.53,98.53
47,VarMax,68.57,68.57,89.54,89.54,89.54,89.54,89.54,89.54,89.54,89.54,89.54
48,VarMax,50.85,92.58,92.58,92.58,92.58,92.58,92.58,92.58,93.12,93.12,93.12
49,VarMax,95.06,95.06,95.06,95.06,95.06,95.06,96.2,96.2,96.2,96.2,96.2
